portfolio,n_months,AE_HN_mean,AE_TN_mean,AE_H1_mean,HN_converged,HN_loglik,HN_sigma_v,HN_sigma_u,HN_beta0,HN_beta_mkt,HN_beta_smb,HN_beta_hml,TN_converged,TN_loglik,TN_sigma_v,TN_sigma_u,TN_mu,TN_beta0,TN_beta_mkt,TN_beta_smb,TN_beta_hml
ME1 BM2,9758,0.9948351357725115,0.6776792926368351,0.8362572142046732,True,-13476.241168243248,0.9628080621380508,0.006490185588379065,0.3504589330673061,0.27819463163360103,0.026140014626655775,-0.1332041860817758,True,256147.2590209592,0.7453129580696249,0.6095452596603009,-8.161378213039574,-7.816065955408206,0.28020239930695906,0.033570962462154866,-0.14814615812310591
ME3 BM5,9758,0.9363287439989956,0.73199472888457,0.8341617364417827,True,-29498.119055801777,4.972499224668255,0.08247031624225633,1.1805969100568279,0.6914045272451713,-2.1667136836913765,-1.4432130312245537,True,240009.18465576367,4.711589781859764,0.39409383368364787,-2.866298045289982,-1.1063333090738836,0.661915304341063,-2.1732213418960553,-1.4565332457924756
ME1 BM4,9758,0.9955680560052349,0.6356322155215502,0.8156001357633926,True,-15486.585926784459,1.1830807143474988,0.005567052862267538,0.4351617010176069,0.19620752552905765,0.17888854351548256,-0.07850941946002933,True,254136.91586709605,0.9688583502273698,0.6789683632554449,-7.658965808525434,-7.228207212949326,0.19826953534367742,0.18396366348075543,-0.09290855966429298
SMALL HiBM,9758,0.9900413109606953,0.6124451338245692,0.8012432223926321,True,-21177.622524131537,2.1198658483469712,0.012544250564472146,0.6984692397716733,0.21668793165719125,0.1079703848936754,0.0054233576869285585,True,248445.8395044606,2.0208910684748953,0.6403024145164897,-4.7798083897067585,-4.09006279193415,0.14683844676860905,0.08807983661151123,-0.027733732112081695
SMALL LoBM,9758,0.9940530900009731,0.5722639557835562,0.7831585228922645,True,-17664.963985136354,1.4789922279654155,0.0074757346953603495,0.4567645144058164,0.3446285028654944,-0.19796652098798007,-0.14231115299784458,True,251958.53900699574,1.2104791323418467,0.849787289211015,-7.1931491788343624,-6.7422333658376195,0.3433152346488875,-0.19044622486185442,-0.1546946803521981
ME2 BM1,9758,0.9917830528813616,0.5634370342412357,0.7776100435612987,True,-21209.86730283103,2.126909895243,0.01034113781417945,0.5861259135810659,0.4838398223541397,-0.7793568893706613,-0.8237984427697449,True,248413.57869983866,1.9833880498954295,0.7679619874522683,-5.7484574169594485,-5.169150057155003,0.40583772800626355,-0.7968583948910606,-0.8582667695676016
ME2 BM2,9758,0.9930746144298891,0.5522930630358144,0.7726838387328517,True,-21103.55231101032,2.1037851790205613,0.008709986154285369,0.567969949453452,0.4628729802235326,-0.7944408934034465,-0.7351777967201717,True,248519.8866546397,1.944845988396834,0.802294081429161,-6.041827653461347,-5.479235559219372,0.3800916817857998,-0.8106145118794296,-0.768779646044496
ME2 BM3,9758,0.9921146963554756,0.551077058542602,0.7715958774490388,True,-21014.773742236546,2.0847650292979254,0.009922096260239394,0.5716051930238909,0.42446370729330823,-0.8021078093397445,-0.6512793540281273,True,248608.66352451508,1.9220607114163069,0.8075386275229348,-6.090889297450523,-5.525668137415574,0.3401510889132162,-0.8190278271229366,-0.6859448872618092
ME2 BM4,9758,0.992106890982219,0.5446119694112931,0.768359430196756,True,-20846.63818183637,2.049143417122735,0.009931962121521127,0.5636523214877018,0.41807012311317415,-0.7510576884632987,-0.5641347178230511,True,248776.86579075106,1.8730103959329052,0.8311682555274403,-6.262856999620649,-5.707012367654075,0.4156411505845408,-0.744542757044695,-0.5722689795406977
ME2 BM5,9758,0.991493371544583,0.5082460404952867,0.7498697060199349,True,-20749.297705591773,2.02871452593881,0.010707299706159202,0.5407192740085038,0.43915432649169717,-0.7186594237361029,-0.45784837628898384,True,248534.76039568696,1.8306563975806083,0.890771307040801,-6.266339092884818,-6.269280945180874,0.34538917252090473,-0.7374649111231014,-0.4966493314306183
