date_t,date_t_plus_h,horizon,spearman_rho
1951-11-30 23:59:59.999999999,1952-01-31 23:59:59.999999999,1,0.8184615384615385
1952-01-31 23:59:59.999999999,1952-03-31 23:59:59.999999999,1,0.8353846153846154
1952-03-31 23:59:59.999999999,1952-05-31 23:59:59.999999999,1,0.9607692307692307
1952-05-31 23:59:59.999999999,1952-07-31 23:59:59.999999999,1,0.9638461538461539
1952-07-31 23:59:59.999999999,1952-09-30 23:59:59.999999999,1,0.87
1952-09-30 23:59:59.999999999,1952-11-30 23:59:59.999999999,1,0.976923076923077
1952-11-30 23:59:59.999999999,1953-01-31 23:59:59.999999999,1,0.7992307692307692
1953-01-31 23:59:59.999999999,1953-03-31 23:59:59.999999999,1,0.8761538461538461
1953-03-31 23:59:59.999999999,1953-05-31 23:59:59.999999999,1,0.8346153846153845
1953-05-31 23:59:59.999999999,1953-07-31 23:59:59.999999999,1,0.7461538461538462
1953-07-31 23:59:59.999999999,1953-09-30 23:59:59.999999999,1,0.6284615384615384
1953-09-30 23:59:59.999999999,1953-11-30 23:59:59.999999999,1,0.6976923076923077
1953-11-30 23:59:59.999999999,1954-01-31 23:59:59.999999999,1,0.9584615384615384
1954-01-31 23:59:59.999999999,1954-02-28 23:59:59.999999999,1,0.7046153846153845
1954-02-28 23:59:59.999999999,1954-04-30 23:59:59.999999999,1,0.8315384615384616
1954-04-30 23:59:59.999999999,1954-06-30 23:59:59.999999999,1,0.9900000000000001
1954-06-30 23:59:59.999999999,1954-08-31 23:59:59.999999999,1,0.8776923076923077
1954-08-31 23:59:59.999999999,1954-10-31 23:59:59.999999999,1,0.9884615384615385
1954-10-31 23:59:59.999999999,1954-12-31 23:59:59.999999999,1,0.9884615384615385
1954-12-31 23:59:59.999999999,1955-01-31 23:59:59.999999999,1,0.8761538461538461
1955-01-31 23:59:59.999999999,1955-02-28 23:59:59.999999999,1,0.9976923076923077
1955-02-28 23:59:59.999999999,1955-04-30 23:59:59.999999999,1,0.9900000000000001
1955-04-30 23:59:59.999999999,1955-06-30 23:59:59.999999999,1,0.9915384615384615
1955-06-30 23:59:59.999999999,1955-08-31 23:59:59.999999999,1,0.8938461538461538
1955-08-31 23:59:59.999999999,1955-10-31 23:59:59.999999999,1,0.8938461538461538
1955-10-31 23:59:59.999999999,1955-12-31 23:59:59.999999999,1,0.8307692307692308
1955-12-31 23:59:59.999999999,1956-01-31 23:59:59.999999999,1,0.9753846153846154
1956-01-31 23:59:59.999999999,1956-02-29 23:59:59.999999999,1,0.713076923076923
1956-02-29 23:59:59.999999999,1956-04-30 23:59:59.999999999,1,0.9846153846153846
1956-04-30 23:59:59.999999999,1956-06-30 23:59:59.999999999,1,0.8684615384615384
1956-06-30 23:59:59.999999999,1956-08-31 23:59:59.999999999,1,0.8730769230769231
1956-08-31 23:59:59.999999999,1956-10-31 23:59:59.999999999,1,0.8023076923076922
1956-10-31 23:59:59.999999999,1956-12-31 23:59:59.999999999,1,0.8953846153846154
1956-12-31 23:59:59.999999999,1957-01-31 23:59:59.999999999,1,0.7676923076923077
1957-01-31 23:59:59.999999999,1957-03-31 23:59:59.999999999,1,0.7846153846153846
1957-03-31 23:59:59.999999999,1957-05-31 23:59:59.999999999,1,0.8407692307692308
1957-05-31 23:59:59.999999999,1957-07-31 23:59:59.999999999,1,0.9638461538461539
1957-07-31 23:59:59.999999999,1957-09-30 23:59:59.999999999,1,0.8215384615384616
1957-09-30 23:59:59.999999999,1957-11-30 23:59:59.999999999,1,0.8446153846153847
1957-11-30 23:59:59.999999999,1958-01-31 23:59:59.999999999,1,0.8284615384615385
1958-01-31 23:59:59.999999999,1958-03-31 23:59:59.999999999,1,0.6946153846153846
1958-03-31 23:59:59.999999999,1958-05-31 23:59:59.999999999,1,0.9438461538461539
1958-05-31 23:59:59.999999999,1958-07-31 23:59:59.999999999,1,0.8107692307692308
1958-07-31 23:59:59.999999999,1958-09-30 23:59:59.999999999,1,0.883076923076923
1958-09-30 23:59:59.999999999,1958-11-30 23:59:59.999999999,1,0.9630769230769232
1958-11-30 23:59:59.999999999,1959-01-31 23:59:59.999999999,1,0.78
1959-01-31 23:59:59.999999999,1959-03-31 23:59:59.999999999,1,0.8192307692307693
1959-03-31 23:59:59.999999999,1959-05-31 23:59:59.999999999,1,0.8661538461538462
1959-05-31 23:59:59.999999999,1959-07-31 23:59:59.999999999,1,0.8661538461538462
1959-07-31 23:59:59.999999999,1959-09-30 23:59:59.999999999,1,0.8738461538461537
1959-09-30 23:59:59.999999999,1959-11-30 23:59:59.999999999,1,0.8746153846153846
1959-11-30 23:59:59.999999999,1960-01-31 23:59:59.999999999,1,0.783076923076923
1960-01-31 23:59:59.999999999,1960-02-29 23:59:59.999999999,1,0.7984615384615384
1960-02-29 23:59:59.999999999,1960-04-30 23:59:59.999999999,1,0.8530769230769231
1960-04-30 23:59:59.999999999,1960-06-30 23:59:59.999999999,1,0.9646153846153847
1960-06-30 23:59:59.999999999,1960-08-31 23:59:59.999999999,1,0.7715384615384615
1960-08-31 23:59:59.999999999,1960-10-31 23:59:59.999999999,1,0.9523076923076922
1960-10-31 23:59:59.999999999,1960-12-31 23:59:59.999999999,1,0.9746153846153847
1960-12-31 23:59:59.999999999,1961-01-31 23:59:59.999999999,1,0.8661538461538462
1961-01-31 23:59:59.999999999,1961-02-28 23:59:59.999999999,1,0.86
