window_end,portfolio,AE_H1_mean
1993-02-28 23:59:59.999999999,ME5 BM4,0.8172056561642572
1993-04-30 23:59:59.999999999,ME5 BM4,0.8184600515160537
1993-05-31 23:59:59.999999999,ME5 BM4,0.8144674301526241
1993-07-31 23:59:59.999999999,ME5 BM4,0.8201271340587223
1993-08-31 23:59:59.999999999,ME5 BM4,0.8229051875138433
1993-10-31 23:59:59.999999999,ME5 BM4,0.8093916195211861
1993-11-30 23:59:59.999999999,ME5 BM4,0.8277236095410139
1994-01-31 23:59:59.999999999,ME5 BM4,0.6098073740236926
1994-01-31 23:59:59.999999999,ME5 BM4,0.6079328759804042
1994-02-28 23:59:59.999999999,ME5 BM4,0.6038368426079082
1994-04-30 23:59:59.999999999,ME5 BM4,0.6059490727699974
1994-05-31 23:59:59.999999999,ME5 BM4,0.6062687246601095
1994-07-31 23:59:59.999999999,ME5 BM4,0.6070803544604397
1994-08-31 23:59:59.999999999,ME5 BM4,0.6068617230576829
1994-10-31 23:59:59.999999999,ME5 BM4,0.6052058654483012
1994-11-30 23:59:59.999999999,ME5 BM4,0.6097429174077076
1995-01-31 23:59:59.999999999,ME5 BM4,0.6086128007616942
1995-01-31 23:59:59.999999999,ME5 BM4,0.8683639621806866
1995-02-28 23:59:59.999999999,ME5 BM4,0.8108449117504054
1995-04-30 23:59:59.999999999,ME5 BM4,0.8309803216783983
1995-05-31 23:59:59.999999999,ME5 BM4,0.8144393683043674
1995-07-31 23:59:59.999999999,ME5 BM4,0.8125655792112412
1995-08-31 23:59:59.999999999,ME5 BM4,0.817242829998354
1995-10-31 23:59:59.999999999,ME5 BM4,0.8309842585876
1995-11-30 23:59:59.999999999,ME5 BM4,0.8259455599538289
1996-01-31 23:59:59.999999999,ME5 BM4,0.8253829610897594
1996-01-31 23:59:59.999999999,ME5 BM4,0.8338481400277639
1996-02-29 23:59:59.999999999,ME5 BM4,0.822722371879699
1996-04-30 23:59:59.999999999,ME5 BM4,0.8232347077096801
1996-05-31 23:59:59.999999999,ME5 BM4,0.6026217161529577
1996-07-31 23:59:59.999999999,ME5 BM4,0.6024954187511201
1996-08-31 23:59:59.999999999,ME5 BM4,0.6080736767595399
1996-10-31 23:59:59.999999999,ME5 BM4,0.6126733030086005
1996-11-30 23:59:59.999999999,ME5 BM4,0.6058546982296337
1997-01-31 23:59:59.999999999,ME5 BM4,0.6159332096299092
1997-01-31 23:59:59.999999999,ME5 BM4,0.6117366135568308
1997-02-28 23:59:59.999999999,ME5 BM4,0.6133228242128752
1997-04-30 23:59:59.999999999,ME5 BM4,0.6229146458154128
1997-05-31 23:59:59.999999999,ME5 BM4,0.622687080844887
1997-07-31 23:59:59.999999999,ME5 BM4,0.6227631919113888
1997-08-31 23:59:59.999999999,ME5 BM4,0.6208146084835702
1997-10-31 23:59:59.999999999,ME5 BM4,0.621988832886983
1997-11-30 23:59:59.999999999,ME5 BM4,0.6240857418897096
1998-01-31 23:59:59.999999999,ME5 BM4,0.6298185009893346
1998-01-31 23:59:59.999999999,ME5 BM4,0.6275321255697306
1998-02-28 23:59:59.999999999,ME5 BM4,0.6413940101030046
1998-04-30 23:59:59.999999999,ME5 BM4,0.636189572606486
1998-05-31 23:59:59.999999999,ME5 BM4,0.6275520617715905
1998-07-31 23:59:59.999999999,ME5 BM4,0.617756623657052
1998-08-31 23:59:59.999999999,ME5 BM4,0.612157431806885
1998-10-31 23:59:59.999999999,ME5 BM4,0.6146518603857116
1998-11-30 23:59:59.999999999,ME5 BM4,0.6105636513125937
1999-01-31 23:59:59.999999999,ME5 BM4,0.6141913719704192
1999-01-31 23:59:59.999999999,ME5 BM4,0.6304613980785623
1999-02-28 23:59:59.999999999,ME5 BM4,0.6063423066717387
1999-04-30 23:59:59.999999999,ME5 BM4,0.6165380276048128
1999-05-31 23:59:59.999999999,ME5 BM4,0.6127363102003626
1999-07-31 23:59:59.999999999,ME5 BM4,0.6012996731962794
1999-08-31 23:59:59.999999999,ME5 BM4,0.6259540975200721
1999-10-31 23:59:59.999999999,ME5 BM4,0.6128466266606956
1999-11-30 23:59:59.999999999,ME5 BM4,0.6036030162127766
2000-01-31 23:59:59.999999999,ME5 BM4,0.6169471715476066
2000-01-31 23:59:59.999999999,ME5 BM4,0.6182366694089451
2000-02-29 23:59:59.999999999,ME5 BM4,0.6139426388719241
2000-04-30 23:59:59.999999999,ME5 BM4,0.6144731689853494
2000-05-31 23:59:59.999999999,ME5 BM4,0.6213443701386999
2000-07-31 23:59:59.999999999,ME5 BM4,0.6258985179694121
2000-08-31 23:59:59.999999999,ME5 BM4,0.6231746821692891
2000-10-31 23:59:59.999999999,ME5 BM4,0.6295506148237191
2000-11-30 23:59:59.999999999,ME5 BM4,0.6271867266739389
2001-01-31 23:59:59.999999999,ME5 BM4,0.6382444383871034
2001-01-31 23:59:59.999999999,ME5 BM4,0.6436920906161133
2001-02-28 23:59:59.999999999,ME5 BM4,0.6438918070116131
2001-04-30 23:59:59.999999999,ME5 BM4,0.627517469806106
2001-05-31 23:59:59.999999999,ME5 BM4,0.6161741357427767
2001-07-31 23:59:59.999999999,ME5 BM4,0.6171179960019361
2001-08-31 23:59:59.999999999,ME5 BM4,0.6381787650135604
2001-10-31 23:59:59.999999999,ME5 BM4,0.621122357283811
2001-11-30 23:59:59.999999999,ME5 BM4,0.628267102701368
2002-01-31 23:59:59.999999999,ME5 BM4,0.6045027496226264
2002-01-31 23:59:59.999999999,ME5 BM4,0.6033817968258804
2002-02-28 23:59:59.999999999,ME5 BM4,0.604895069345011
2002-04-30 23:59:59.999999999,ME5 BM4,0.6045126026604305
2002-05-31 23:59:59.999999999,ME5 BM4,0.6031838617589623
2002-07-31 23:59:59.999999999,ME5 BM4,0.6222349629255893
2002-08-31 23:59:59.999999999,ME5 BM4,0.6044770348693348
2002-10-31 23:59:59.999999999,ME5 BM4,0.6110568005014412
2002-11-30 23:59:59.999999999,ME5 BM4,0.6076290136776389
2003-01-31 23:59:59.999999999,ME5 BM4,0.6415701270272216
2003-01-31 23:59:59.999999999,ME5 BM4,0.6074635909322322
2003-02-28 23:59:59.999999999,ME5 BM4,0.6135807222809948
2003-04-30 23:59:59.999999999,ME5 BM4,0.6120071551986838
2003-05-31 23:59:59.999999999,ME5 BM4,0.6129170390842816
2003-07-31 23:59:59.999999999,ME5 BM4,0.6161657817292148
2003-08-31 23:59:59.999999999,ME5 BM4,0.6399293840924994
2003-10-31 23:59:59.999999999,ME5 BM4,0.6233095277223255
2003-11-30 23:59:59.999999999,ME5 BM4,0.6194575479527537
2004-01-31 23:59:59.999999999,ME5 BM4,0.6225592426570539
2004-01-31 23:59:59.999999999,ME5 BM4,0.6218073162485837
2004-02-29 23:59:59.999999999,ME5 BM4,0.6368872641337513
2004-04-30 23:59:59.999999999,ME5 BM4,0.6225524763309243
2004-05-31 23:59:59.999999999,ME5 BM4,0.5997273789946347
2004-07-31 23:59:59.999999999,ME5 BM4,0.6132657990419113
2004-08-31 23:59:59.999999999,ME5 BM4,0.6283580136618898
2004-10-31 23:59:59.999999999,ME5 BM4,0.6010137727004178
2004-11-30 23:59:59.999999999,ME5 BM4,0.6148675684975908
2005-01-31 23:59:59.999999999,ME5 BM4,0.6026068762752064
2005-01-31 23:59:59.999999999,ME5 BM4,0.601150436593027
2005-02-28 23:59:59.999999999,ME5 BM4,0.6025109560433027
2005-04-30 23:59:59.999999999,ME5 BM4,0.6202256348807024
2005-05-31 23:59:59.999999999,ME5 BM4,0.6027273152956901
2005-07-31 23:59:59.999999999,ME5 BM4,0.6048578676554713
2005-08-31 23:59:59.999999999,ME5 BM4,0.609173250273566
2005-10-31 23:59:59.999999999,ME5 BM4,0.6305574383862489
2005-11-30 23:59:59.999999999,ME5 BM4,0.6050003815478742
2006-01-31 23:59:59.999999999,ME5 BM4,0.6079979309093785
2006-01-31 23:59:59.999999999,ME5 BM4,0.6095616666034573
2006-02-28 23:59:59.999999999,ME5 BM4,0.6174046451787938
2006-04-30 23:59:59.999999999,ME5 BM4,0.6102942506332044
2006-05-31 23:59:59.999999999,ME5 BM4,0.6230218642723583
2006-07-31 23:59:59.999999999,ME5 BM4,0.6655507565175981
2006-08-31 23:59:59.999999999,ME5 BM4,0.6155305363293119
2006-10-31 23:59:59.999999999,ME5 BM4,0.6242799963820577
2006-11-30 23:59:59.999999999,ME5 BM4,0.6522244524912547
2007-01-31 23:59:59.999999999,ME5 BM4,0.6373920926138079
2007-01-31 23:59:59.999999999,ME5 BM4,0.6395743009815036
2007-02-28 23:59:59.999999999,ME5 BM4,0.639838957810817
2007-04-30 23:59:59.999999999,ME5 BM4,0.6457389797176168
2007-05-31 23:59:59.999999999,ME5 BM4,0.6597995325920878
2007-07-31 23:59:59.999999999,ME5 BM4,0.660892606041601
2007-08-31 23:59:59.999999999,ME5 BM4,0.6613132377035861
2007-10-31 23:59:59.999999999,ME5 BM4,0.6571182321692578
2007-11-30 23:59:59.999999999,ME5 BM4,0.6628249711504964
2008-01-31 23:59:59.999999999,ME5 BM4,0.6594250980554345
2008-01-31 23:59:59.999999999,ME5 BM4,0.6494640042033074
2008-02-29 23:59:59.999999999,ME5 BM4,0.6475896007434357
2008-04-30 23:59:59.999999999,ME5 BM4,0.643651187564809
2008-05-31 23:59:59.999999999,ME5 BM4,0.6422935797117236
2008-07-31 23:59:59.999999999,ME5 BM4,0.6349709430697442
2008-08-31 23:59:59.999999999,ME5 BM4,0.6504106589505104
2008-10-31 23:59:59.999999999,ME5 BM4,0.6457525076982066
2008-11-30 23:59:59.999999999,ME5 BM4,0.6736648984792543
2009-01-31 23:59:59.999999999,ME5 BM4,0.6272092505407578
2009-01-31 23:59:59.999999999,ME5 BM4,0.6127512572626433
2009-02-28 23:59:59.999999999,ME5 BM4,0.6106218797743548
2009-04-30 23:59:59.999999999,ME5 BM4,0.6099759331610863
2009-05-31 23:59:59.999999999,ME5 BM4,0.6113756699497588
2009-07-31 23:59:59.999999999,ME5 BM4,0.6146026606911099
2009-08-31 23:59:59.999999999,ME5 BM4,0.6016652050368816
2009-10-31 23:59:59.999999999,ME5 BM4,0.6015364551670171
2009-11-30 23:59:59.999999999,ME5 BM4,0.6026691758797118
2010-01-31 23:59:59.999999999,ME5 BM4,0.6016091649723293
2010-01-31 23:59:59.999999999,ME5 BM4,0.6173534459658911
2010-02-28 23:59:59.999999999,ME5 BM4,0.6024733608434765
2010-04-30 23:59:59.999999999,ME5 BM4,0.6001421364711348
2010-05-31 23:59:59.999999999,ME5 BM4,0.5994339715314526
2010-07-31 23:59:59.999999999,ME5 BM4,0.6075143616968058
2010-08-31 23:59:59.999999999,ME5 BM4,0.6011671291056414
