portfolio,model_type,factor_model,sample_start,sample_end,n_obs,alpha,sigma_v,sigma_u,lambda,log_likelihood,AIC,BIC,u_hat,AE,AE_median,residual_mean,residual_std,converged,message,runtime_seconds,coef_alpha,coef_mkt_rf,coef_smb,coef_hml,AE_rank
ME2 BM2,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.0003131657567854532,0.01918745590024926,0.00017844918734301736,0.009300304754873687,3023.742818331873,-6035.485636663746,-6004.980278131158,0.00014238182677633882,0.9998576283092155,0.9998576226147827,6.905612752371805e-07,0.019194695872022723,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.5172004000050947,0.0003131657567854532,1.0226040457311287,1.005249232216286,0.11752344191312293,13
ME3 BM2,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.0010028415309167834,0.01717924814149627,0.00017867683130316,0.010400736390294534,3155.562209950399,-6299.124419900798,-6268.61906136821,0.00014256345893463548,0.9998574467029794,0.9998574441860236,6.043783538438101e-07,0.017186635168262427,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.7065475000053993,0.0010028415309167834,1.017233834488054,0.5606838179632535,0.04741056243333383,14
ME1 BM2,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,-0.0038093357739363656,0.04056703260706333,0.000194606431190271,0.004797157166392966,2130.5262534073813,-4249.052506814763,-4218.547148282175,0.0001552734540376564,0.9998447386003184,0.9998447431867581,1.4614264124799117e-06,0.04058390842949629,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.5391309000042384,-0.0038093357739363656,1.0708099843109191,1.5297207866225813,0.20553249168181842,15
ME3 BM3,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.0005844025394944176,0.017531486496924573,0.00019540909220803123,0.011146179318126304,3131.413813683367,-6250.827627366734,-6220.322268834147,0.00015591385944671698,0.9998440982947997,0.9998440768450276,7.958999741583179e-07,0.01753796481260731,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.8140640999990865,0.0005844025394944176,0.9841485885006219,0.4520227616812802,0.32331404661555013,16
SMALL LoBM,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,-0.006589140768646434,0.06904876262796288,0.00020013583540965218,0.002898470990537383,1496.0222072701679,-2980.0444145403358,-2949.539056007748,0.00015968529522921826,0.999840327453811,0.9998403245844341,-7.906739518970149e-07,0.06907775902468136,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.4889316999979201,-0.006589140768646434,1.2687644794503494,1.4749180252014722,0.3501755084738955,17
ME5 BM2,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.00011707151372369212,0.01409804014769263,0.0002046885890635609,0.014518939293633766,3391.461788057921,-6770.923576115842,-6740.418217583254,0.0001633178001475274,0.9998366955360599,0.9998366862650712,7.971810331450189e-07,0.01410258798770605,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.6567747000008239,0.00011707151372369212,0.9778026297413185,-0.19066518618696665,0.025786505383560972,18
ME4 BM5,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,-0.001476105620764771,0.02560769635720875,0.0003500392111542835,0.013669297162520633,2679.379420137487,-5346.758840274974,-5316.253481742387,0.0002792908537346674,0.9997207481458333,0.9997206962380023,3.542301872969756e-07,0.02561686212275546,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.7197811000005458,-0.001476105620764771,1.1851435630992158,0.31975743154743363,0.9465931939626198,19
ME2 BM5,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.005992810413307353,0.018403485007323,0.007144994483914893,0.388241383687481,3041.6027826519976,-6071.205565303995,-6040.7002067714075,0.005695774997958888,0.9943209544683694,0.9943834691612118,1.8931999629534262e-08,0.017928615466132343,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.4861492000054568,0.005992810413307353,1.0665173410276299,0.9284627663819218,0.8857639424495293,20
ME4 BM3,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.00641640083840672,0.017608451169710364,0.008223750484643572,0.46703428969322813,3080.5452083944656,-6149.090416788931,-6118.5850582563435,0.006556947617196961,0.9934654805598945,0.9936486097929479,-2.9524959748087202e-08,0.01695977160153737,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.4629110000023502,0.00641640083840672,1.0101548755915564,0.20898756054126283,0.35079105726144033,21
ME3 BM4,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.009855500228722931,0.016175666082741545,0.011998583157359015,0.7417674855541668,3119.146463793722,-6226.292927587444,-6195.787569054856,0.009537848003869065,0.9905125176765555,0.9910229008666656,-2.9496481753932316e-08,0.014799332064938605,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.36983039999904577,0.009855500228722931,0.9947963198495137,0.48903413148615693,0.5693063150302404,22
ME5 BM3,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.010620458917706703,0.015022750739698184,0.013769653142505348,0.9165866745108484,3158.0043306103144,-6304.008661220629,-6273.503302688041,0.01094451055566879,0.9891242405078915,0.9898755368854596,4.538233352329594e-09,0.013207023794543988,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.3211728000023868,0.010620458917706703,0.959369777156355,-0.2269569935635725,0.332253503889413,23
ME5 BM4,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.009593151864989564,0.015531043037305757,0.015196441308238133,0.9784559396130764,3099.947114315141,-6187.894228630282,-6157.388870097694,0.012028775328910842,0.9880560941407973,0.9890649406927734,-2.7525134320217446e-09,0.01346127078817953,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.37258469999505905,0.009593151864989564,1.0291014718987068,-0.17159392071694496,0.6641134719264057,24
ME2 BM1,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.010270496253202999,0.021883778125219654,0.01574586004668947,0.719522011080133,2764.359749570155,-5516.71949914031,-5486.214140607723,0.012516593496228936,0.9875696401179408,0.9881197724885556,-1.1569859582387894e-07,0.02011734152739787,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.3628035000001546,0.010270496253202999,1.0897666462296405,1.157039297280188,-0.21910167811122414,25
