portfolio,alpha,alpha_t_stat,alpha_rank,mean_excess_return,volatility,sharpe_like_annualized,r_squared,AE,AE_rank,u_hat,converged,rank_difference,abs_rank_difference,disagreement_case,alpha_ae_spearman,alpha_ae_spearman_p_value
ME5 BM2,-4.5391486647253046e-05,-0.1098280223480197,13,0.006498373009220453,0.05245641724596455,0.4291376654920123,0.9277118952276973,0.9998366955360599,18,0.0001633178001475274,True,-5,5,True,0.40307692307692305,0.045729575003449416
SMALL HiBM,0.0014084672654100174,1.9673409493146248,1,0.01339556999161777,0.09150280332454487,0.5071278032768923,0.9287135389057841,0.9998939286254412,5,0.00010607700055907382,True,-4,4,False,0.40307692307692305,0.045729575003449416
ME4 BM2,-0.000116360910070661,-0.23499436664471893,14,0.007772857502095557,0.06089551845037872,0.4421666636960437,0.923003629571338,0.9998594735863364,11,0.0001405362886469128,True,3,3,False,0.40307692307692305,0.045729575003449416
ME4 BM1,0.0004149653744496267,0.8635404613889155,6,0.007269857502095558,0.061832179707202395,0.4072883284089869,0.9296651078332636,0.9998711247149373,9,0.00012888359036241742,True,-3,3,False,0.40307692307692305,0.045729575003449416
ME2 BM1,-0.002176897980685187,-3.1104701156856667,22,0.006455973176865045,0.07957712960282484,0.28103736866214307,0.9099281362573596,0.9875696401179408,25,0.012516593496228936,True,-3,3,False,0.40307692307692305,0.045729575003449416
ME4 BM5,-0.0017549652967889474,-2.3376739924788112,21,0.010250796311818943,0.08546487728332192,0.4154899789126558,0.910146410527153,0.9997207481458333,19,0.0002792908537346674,True,2,2,False,0.40307692307692305,0.045729575003449416
ME1 BM4,0.0007034883391616066,1.0892248372270223,4,0.011256147527242247,0.0826465263069014,0.47179767343824397,0.9288833767484405,0.9999128486115232,2,8.71551863990317e-05,True,2,2,False,0.40307692307692305,0.045729575003449416
ME2 BM3,0.00022044428862256485,0.40678920169147775,9,0.009637846605196983,0.072085229425053,0.46315285749662083,0.9341875735938378,0.9998772777695478,7,0.00012272976154907515,True,2,2,False,0.40307692307692305,0.045729575003449416
BIG LoBM,0.0009818704185730566,2.985431807907298,2,0.0069416730930427495,0.053329819953149324,0.45090459698706775,0.955711047594195,0.9999015131807405,3,9.849166952621584e-05,True,-1,1,False,0.40307692307692305,0.045729575003449416
ME2 BM2,0.00017139834727830712,0.30470710803489975,12,0.009320833193629505,0.07467815967129061,0.4323662160744774,0.9339302783065382,0.9998576283092155,13,0.00014238182677633882,True,-1,1,False,0.40307692307692305,0.045729575003449416
ME4 BM4,0.00018868611703282595,0.3237929848634176,11,0.009662871751886001,0.06810263431880262,0.49151064385971327,0.9147373546265155,0.9998592657195117,12,0.00014074418464783163,True,-1,1,False,0.40307692307692305,0.045729575003449416
ME5 BM4,-0.0024095272589464314,-4.543071291564244,23,0.006700820620284995,0.06519837478476882,0.35602610663387757,0.9229393539708582,0.9880560941407973,24,0.012028775328910842,True,-1,1,False,0.40307692307692305,0.045729575003449416
