portfolio,window_start,window_end,window_length,model_type,factor_model,AE,u_hat,convergence_status,message,log_likelihood,AIC,BIC,sigma_v,sigma_u,lambda,rank,quintile
ME4 BM5,1948-07-31 23:59:59.999999,1958-06-30 23:59:59.999999,120,half_normal,ff3,0.9995728026476118,0.000427288644973126,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,315.4496254963052,-618.8992509926104,-602.1743005359182,0.017459842255590947,0.0005355269194445027,0.030671921979880293,18,2
ME4 BM5,1949-07-31 23:59:59.999999,1959-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727963431403,0.00042729495067081767,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,310.2989345777355,-608.597869155471,-591.8729186987788,0.01822574981250867,0.0005355347839959805,0.02938341574448877,19,2
ME4 BM5,1950-07-31 23:59:59.999999,1960-06-30 23:59:59.999999,120,half_normal,ff3,0.9995728032279948,0.0004272880647323292,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,316.68637807138487,-621.3727561427697,-604.6478056860775,0.017280554386362158,0.0005355261161423722,0.03099010044290074,19,2
ME4 BM5,1951-07-31 23:59:59.999999,1961-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727852697319,0.00042730602760844707,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,304.9429696896285,-597.885939379257,-581.1609889225648,0.019054491202122437,0.0005355483872735421,0.02810614996709482,19,2
ME4 BM5,1952-07-31 23:59:59.999999,1962-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727847712615,0.0004273065269020114,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,307.31251493338084,-602.6250298667617,-585.9000794100695,0.01868518512059206,0.0005355491136512068,0.028661696964457868,19,2
ME4 BM5,1953-07-31 23:59:59.999999,1963-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727824516154,0.0004273088475802203,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,307.42956035614054,-602.8591207122811,-586.1341702555889,0.018666732722524063,0.0005355520047932585,0.02869018444492104,19,1
ME4 BM5,1954-07-31 23:59:59.999999,1964-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727716451338,0.0004273196565224039,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,298.89766265157425,-585.7953253031485,-569.0703748464563,0.020042952521381656,0.0005355656979761867,0.026720898400814434,19,1
ME4 BM5,1955-07-31 23:59:59.999999,1965-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727722900825,0.0004273190120435459,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,301.99033223343906,-591.9806644668781,-575.2557140101859,0.019532607685041496,0.0005355647961504484,0.027419011572151514,19,1
ME4 BM5,1956-07-31 23:59:59.999999,1966-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727695638188,0.00042732173913142776,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,300.3983483708505,-588.796696741701,-572.0717462850088,0.01979187537903285,0.000535568115296596,0.02705999835993142,19,1
ME4 BM5,1957-07-31 23:59:59.999999,1967-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727694631211,0.0004273218401709708,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,301.65429024021137,-591.3085804804227,-574.5836300237305,0.019587606805614513,0.0005355683120866044,0.02734220251618954,19,2
