portfolio,window_start,window_end,window_length,model_type,factor_model,AE,u_hat,convergence_status,message,log_likelihood,AIC,BIC,sigma_v,sigma_u,lambda,rank,quintile,sensitivity_window
ME2 BM1,2016-07-31 23:59:59.999999,2021-06-30 23:59:59.999999,60,half_normal,ff3,0.9998154883480571,0.0001845286769085972,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,156.63496611705222,-301.26993223410443,-288.70386486077183,0.01778229304492259,0.00023127240121237016,0.013005769313784072,12,3,60
ME2 BM2,1936-07-31 23:59:59.999999,1941-06-30 23:59:59.999999,60,half_normal,ff3,0.9998752329478784,0.00012477483629631878,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,155.25598537861964,-298.5119707572393,-285.9459033839067,0.018195369254677983,0.0001563820983355778,0.008594609768382269,2,5,60
ME2 BM2,1946-07-31 23:59:59.999999,1951-06-30 23:59:59.999999,60,half_normal,ff3,0.9998752360332688,0.00012477175088641633,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,197.2711854941031,-382.5423709882062,-369.9763036148736,0.009033226539872954,0.00015637819926636948,0.017311444429751768,2,5,60
ME2 BM2,1956-07-31 23:59:59.999999,1961-06-30 23:59:59.999999,60,half_normal,ff3,0.9998752295281467,0.00012477825645829343,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,155.88353798111874,-299.76707596223747,-287.20100858890487,0.0180063124606696,0.00015638636559128978,0.008685085629435658,3,5,60
ME2 BM2,1966-07-31 23:59:59.999999,1971-06-30 23:59:59.999999,60,half_normal,ff3,0.9998752306729466,0.00012477711162468144,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,175.2965626077704,-338.5931252155408,-326.0270578422082,0.013029046577801727,0.0001563849238141114,0.0120027910622833,3,5,60
ME2 BM2,1976-07-31 23:59:59.999999,1981-06-30 23:59:59.999999,60,half_normal,ff3,0.9998752325916302,0.00012477519285835007,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,190.61107516838305,-369.2221503367661,-356.6560829634335,0.01009382814563346,0.00015638251379245004,0.015492884516772791,3,5,60
ME2 BM2,1986-07-31 23:59:59.999999,1991-06-30 23:59:59.999999,60,half_normal,ff3,0.9998752307871254,0.000124776997464633,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,179.200117174766,-346.400234349532,-333.8341669761994,0.012208324417118362,0.00015638477769605247,0.012809683978971894,3,5,60
ME2 BM2,1996-07-31 23:59:59.999999,2001-06-30 23:59:59.999999,60,half_normal,ff3,0.9998752278907228,0.00012477989408569114,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,155.92614098062933,-299.85228196125865,-287.28621458792605,0.01799391925927635,0.00015638840752440336,0.0086911809078937,4,5,60
ME2 BM2,2006-07-31 23:59:59.999999,2011-06-30 23:59:59.999999,60,half_normal,ff3,0.999875229804999,0.00012477797972710068,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,180.60369762689197,-349.20739525378394,-336.64132788045134,0.01192599635647073,0.0001563860046711874,0.013113034751711668,4,5,60
ME2 BM2,2016-07-31 23:59:59.999999,2021-06-30 23:59:59.999999,60,half_normal,ff3,0.9998752291402047,0.00012477864455975453,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,175.38675618741624,-338.7735123748325,-326.2074450014999,0.013009338696265357,0.00015638681068555168,0.012021119161917606,4,5,60
ME2 BM3,1936-07-31 23:59:59.999999,1941-06-30 23:59:59.999999,60,half_normal,ff3,0.9997935400699959,0.00020648124693392183,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,162.72536092814215,-313.4507218562843,-300.8846544829517,0.01606617761807332,0.00025878575977326864,0.016107487787397103,,,60
ME2 BM3,1946-07-31 23:59:59.999999,1951-06-30 23:59:59.999999,60,half_normal,ff3,0.9998425895853148,0.00015742280615951596,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,195.64121226506106,-379.2824245301221,-366.7163571567895,0.009282350461224612,0.00019730029927585502,0.021255424485429886,5,4,60
ME2 BM3,1956-07-31 23:59:59.999999,1961-06-30 23:59:59.999999,60,half_normal,ff3,0.9998425914331545,0.00015742095814605343,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,198.91029186504574,-385.82058373009147,-373.25451635675887,0.008789570997205532,0.0001972979909993383,0.022446828299363557,7,4,60
ME2 BM3,1966-07-31 23:59:59.999999,1971-06-30 23:59:59.999999,60,half_normal,ff3,0.9998425809387792,0.00015743145339503026,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,169.954404674035,-327.90880934807,-315.3427419747374,0.01424242824627798,0.00019731106049396987,0.013853751416689342,7,4,60
ME2 BM3,1976-07-31 23:59:59.999999,1981-06-30 23:59:59.999999,60,half_normal,ff3,0.999842585097191,0.00015742729482825246,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,191.010657695073,-370.021315390146,-357.4552480168134,0.01002647143525376,0.00019730584484325123,0.019678492689812126,7,4,60
ME2 BM3,1986-07-31 23:59:59.999999,1991-06-30 23:59:59.999999,60,half_normal,ff3,0.9998425925987615,0.00015741979286452095,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,208.42404156398655,-404.8480831279731,-392.2820157546405,0.007500131837917043,0.000197296609115757,0.026305752136025217,7,4,60
ME2 BM3,1996-07-31 23:59:59.999999,2001-06-30 23:59:59.999999,60,half_normal,ff3,0.9998425724121138,0.00015743998121194115,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,155.3004159062638,-298.6008318125276,-286.034764439195,0.0181830783454514,0.00019732176887586375,0.010851945150707934,8,4,60
ME2 BM3,2006-07-31 23:59:59.999999,2011-06-30 23:59:59.999999,60,half_normal,ff3,0.9998425768948553,0.00015743549825114703,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,184.10157371268363,-356.20314742536726,-343.63708005203466,0.011250375972441681,0.0001973161412257095,0.017538626416489952,8,4,60
ME2 BM3,2016-07-31 23:59:59.999999,2021-06-30 23:59:59.999999,60,half_normal,ff3,0.9998425767840255,0.00015743560910111044,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,184.1153530082438,-356.2307060164876,-343.664638643155,0.011247097940324587,0.0001973162564577521,0.017543748396669303,8,4,60
ME2 BM4,1936-07-31 23:59:59.999999,1941-06-30 23:59:59.999999,60,half_normal,ff3,0.9981503421308797,0.0018513802899607435,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,170.61466258936974,-329.2293251787395,-316.6632578054069,0.014017790522347388,0.0023203524193682354,0.1655291121428225,,,60
ME2 BM4,1946-07-31 23:59:59.999999,1951-06-30 23:59:59.999999,60,half_normal,ff3,0.9911254328727066,0.00892646495035417,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,195.84095227794728,-379.68190455589456,-367.11583718256196,0.006504672946726672,0.011173849723329854,1.7178188380636168,17,1,60
ME2 BM4,1956-07-31 23:59:59.999999,1961-06-30 23:59:59.999999,60,half_normal,ff3,0.9874869248281215,0.01262334096210586,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,184.8806267081307,-357.7612534162614,-345.1951860429288,0.006368271983300827,0.01574433805360219,2.4723093006843473,18,1,60
ME2 BM4,1966-07-31 23:59:59.999999,1971-06-30 23:59:59.999999,60,half_normal,ff3,0.9916198825731398,0.008422414946704026,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,183.49611745894688,-354.99223491789377,-342.42616754456117,0.009442961118858626,0.010575979460385332,1.1199854926082395,15,1,60
ME2 BM4,1976-07-31 23:59:59.999999,1981-06-30 23:59:59.999999,60,half_normal,ff3,0.9883772086750418,0.011718594352030784,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,184.8129215038576,-357.6258430077152,-345.0597756343826,0.006983915811324287,0.014860449322969729,2.1278104897647525,18,1,60
ME2 BM4,1986-07-31 23:59:59.999999,1991-06-30 23:59:59.999999,60,half_normal,ff3,0.9938287563075602,0.006193772198595977,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,199.37600726470075,-386.7520145294015,-374.1859471560689,0.007377717531465368,0.007767727098230628,1.0528631741594743,14,2,60
